Query_num,Tweet_id,Rank
1,1283831324709724171,0.55895
1,1283614460142161922,0.38311
1,1283901747958878210,0.34525
1,1283643079124307968,0.33253
1,1283818688890769410,0.31982
1,1283794707072589824,0.31982
1,1283736876302639104,0.29793
1,1283766929723920384,0.27069
1,1283627966413582336,0.2672
1,1283883651713966080,0.24228
1,1283593724128366592,0.23859
1,1283769465394454528,0.23394
1,1283812474601394177,0.22991
1,1283819329490948096,0.22033
1,1283764155087020032,0.21281
1,1283632601513615362,0.2098
1,1283603906564587520,0.2053
1,1283699708217757696,0.20334
1,1283706800764846080,0.20128
1,1283862573029322752,0.1968
1,1283794386921435138,0.19055
1,1283752800820891649,0.19044
1,1283771588685508611,0.18968
1,1283818051201163264,0.18914
1,1283614176888356866,0.18702
1,1283800826029514754,0.18193
1,1283765014013280258,0.18034
1,1283772010414264320,0.1788
1,1283806946131349504,0.17251
1,1283610536891097090,0.17232
1,1283636797281533952,0.1706
1,1283672906304753664,0.16923
1,1283873559362727937,0.16919
1,1283784951498977281,0.16748
1,1283877213658644480,0.16474
1,1283777526268137473,0.16254
1,1283596600099565569,0.16197
1,1283730986275082240,0.16147
1,1283851941991329798,0.15104
1,1283844634754510848,0.14517
1,1283772053351473158,0.14349
1,1283821897591947265,0.13838
1,1283910651266469890,0.13482
1,1283841142061178882,0.133
1,1283714676019417088,0.13117
1,1283716488478830592,0.1307
1,1283632340057587713,0.12572
1,1283785072089456641,0.12491
1,1283784834037559296,0.1243
1,1283891896264396806,0.12258
1,1283631499464581120,0.11422
1,1283656405929603072,0.11323
1,1283778985390989317,0.11309
1,1283604139654762497,0.10609
1,1283758030778032128,0.07219
1,1283595356845101058,0.06634
2,1283878073298034689,0.46899
2,1283686306934128642,0.35779
2,1283888319772758016,0.3385
2,1283821155590307844,0.32841
2,1283762836452208646,0.32621
2,1283893205528973327,0.31814
2,1283815409771139072,0.3037
2,1283809420309401605,0.29198
2,1283627529207570432,0.28808
2,1283609761725001728,0.28593
2,1283856687775068162,0.27917
2,1283570999217160192,0.27432
2,1283851117705654272,0.2705
